time,signal,type,entry,sl,tp,exit,pnl_raw,pnl_weighted,position,breakout_prob,reason,result,month
2025-03-16 08:15:00,SHORT,STRONG,1920.39,1925.0520000000001,1916.505,1916.505,0.202302657272741,0.16184212581819282,80,60,强突破,WIN,2025-03
2025-03-16 09:25:00,SHORT,STRONG,1916.6,1921.1527142857142,1912.8060714285714,1912.8060714285714,0.19795098463051883,0.19795098463051883,100,70,强突破,WIN,2025-03
2025-03-16 09:35:00,SHORT,STRONG,1911.09,1916.0175,1904.5199999999998,1904.5199999999998,0.3437828673688923,0.27502629389511385,80,60,强突破,WIN,2025-03
2025-03-16 09:40:00,SHORT,STRONG,1907.01,1912.3382142857145,1899.905714285714,1912.3382142857145,-0.27940148639569096,-0.27940148639569096,100,70,放量趋势,LOSS,2025-03
2025-03-16 10:25:00,SHORT,STRONG,1906.95,1912.3234285714286,1895.755357142857,1895.755357142857,0.5870443827653048,0.3522266296591829,60,35,放量趋势,WIN,2025-03
2025-03-16 10:30:00,SHORT,STRONG,1907.0,1912.3545714285715,1895.8446428571428,1895.8446428571428,0.5849689115289541,0.3509813469173725,60,45,放量趋势,WIN,2025-03
2025-03-16 11:00:00,SHORT,STRONG,1896.4,1901.7925,1889.21,1889.21,0.3791394220628588,0.37913942206285883,100,70,强突破,WIN,2025-03
2025-03-16 11:05:00,SHORT,STRONG,1895.19,1900.1357142857144,1884.8864285714287,1884.8864285714287,0.5436695755344494,0.3262017453206696,60,55,强突破,WIN,2025-03
2025-03-16 11:10:00,SHORT,STRONG,1893.8,1898.8374285714285,1883.3053571428572,1883.3053571428572,0.5541579288807006,0.4433263431045604,80,65,放量趋势,WIN,2025-03
2025-03-16 11:15:00,SHORT,STRONG,1886.59,1893.3837142857142,1872.4364285714285,1872.4364285714285,0.7502197842971429,0.6001758274377142,80,65,强突破,WIN,2025-03
2025-03-16 11:35:00,SHORT,STRONG,1873.74,1881.8734285714286,1856.7953571428573,1881.8734285714286,-0.4340745552439808,-0.2604447331463885,60,55,放量趋势,LOSS,2025-03
2025-03-16 13:50:00,SHORT,STRONG,1877.41,1884.1034285714286,1863.465357142857,1884.1034285714286,-0.3565246041849416,-0.21391476251096495,60,15,放量趋势,LOSS,2025-03
2025-03-16 18:05:00,SHORT,STRONG,1900.0,1905.5782857142858,1888.3785714285714,1888.3785714285714,0.6116541353383487,0.3669924812030092,60,25,强突破,WIN,2025-03
2025-03-16 18:30:00,SHORT,STRONG,1899.16,1904.1237142857144,1888.8189285714286,1888.8189285714286,0.544507646989799,0.3267045881938794,60,45,放量趋势,WIN,2025-03
2025-03-16 18:35:00,SHORT,STRONG,1897.51,1902.4454285714287,1887.2278571428571,1887.2278571428571,0.5418755557094742,0.3251253334256845,60,35,强突破,WIN,2025-03
2025-03-16 18:50:00,SHORT,STRONG,1893.73,1899.0117142857143,1882.7264285714286,1882.7264285714286,0.5810528126275327,0.34863168757651963,60,45,放量趋势,WIN,2025-03
2025-03-16 19:10:00,SHORT,STRONG,1882.98,1889.01,1870.4175,1870.4175,0.6671605646369053,0.4002963387821432,60,55,强突破,WIN,2025-03
2025-03-16 19:15:00,SHORT,STRONG,1871.66,1878.8488571428572,1856.6832142857143,1878.8488571428572,-0.3840899064390519,-0.3072719251512415,80,65,强突破,LOSS,2025-03
2025-03-16 22:00:00,SHORT,STRONG,1887.3,1892.2225714285714,1877.0446428571427,1877.0446428571427,0.5433877572647323,0.32603265435883944,60,25,放量趋势,WIN,2025-03
2025-03-16 22:05:00,SHORT,STRONG,1880.32,1885.8622857142857,1868.7735714285714,1885.8622857142857,-0.2947522610133251,-0.17685135660799503,60,45,强突破,LOSS,2025-03
